iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
39,v0.15.2,1760786881.986,2025-10-18T11:28:01.986Z,2025-10-18T11:28:01.986+00:00,1760786904.260,2025-10-18T11:28:24.259Z,2025-10-18T11:28:24.259+00:00,1760786882.000,2025-10-18T11:28:02.000Z,2025-10-18T11:28:02.000+00:00,1760786886.000,2025-10-18T11:28:06.000Z,2025-10-18T11:28:06.000+00:00,6.319,0.088,15.728,4.000,22.273,18.273,ok,
40,v0.15.1,1760786905.613,2025-10-18T11:28:25.612Z,2025-10-18T11:28:25.612+00:00,1760786926.966,2025-10-18T11:28:46.966Z,2025-10-18T11:28:46.966+00:00,1760786905.000,2025-10-18T11:28:25.000Z,2025-10-18T11:28:25.000+00:00,1760786908.000,2025-10-18T11:28:28.000Z,2025-10-18T11:28:28.000+00:00,5.157,0.111,16.590,3.000,21.353,18.353,ok,
41,v0.15.2,1760786928.499,2025-10-18T11:28:48.499Z,2025-10-18T11:28:48.499+00:00,1760786950.410,2025-10-18T11:29:10.409Z,2025-10-18T11:29:10.409+00:00,1760786928.000,2025-10-18T11:28:48.000Z,2025-10-18T11:28:48.000+00:00,1760786931.000,2025-10-18T11:28:51.000Z,2025-10-18T11:28:51.000+00:00,5.381,0.217,16.697,3.000,21.910,18.910,ok,
42,v0.15.1,1760786951.709,2025-10-18T11:29:11.709Z,2025-10-18T11:29:11.709+00:00,1760786972.554,2025-10-18T11:29:32.553Z,2025-10-18T11:29:32.553+00:00,1760786951.000,2025-10-18T11:29:11.000Z,2025-10-18T11:29:11.000+00:00,1760786954.000,2025-10-18T11:29:14.000Z,2025-10-18T11:29:14.000+00:00,6.268,0.136,14.961,3.000,20.844,17.844,ok,
43,v0.15.2,1760786973.782,2025-10-18T11:29:33.782Z,2025-10-18T11:29:33.782+00:00,1760786995.368,2025-10-18T11:29:55.367Z,2025-10-18T11:29:55.367+00:00,1760786973.000,2025-10-18T11:29:33.000Z,2025-10-18T11:29:33.000+00:00,1760786977.000,2025-10-18T11:29:37.000Z,2025-10-18T11:29:37.000+00:00,6.904,0.112,15.148,4.000,21.586,17.586,ok,
44,v0.15.1,1760786996.763,2025-10-18T11:29:56.762Z,2025-10-18T11:29:56.762+00:00,1760787017.237,2025-10-18T11:30:17.236Z,2025-10-18T11:30:17.236+00:00,1760786996.000,2025-10-18T11:29:56.000Z,2025-10-18T11:29:56.000+00:00,1760786999.000,2025-10-18T11:29:59.000Z,2025-10-18T11:29:59.000+00:00,5.840,0.091,15.115,3.000,20.474,17.474,ok,
45,v0.15.2,1760787018.551,2025-10-18T11:30:18.550Z,2025-10-18T11:30:18.550+00:00,1760787039.690,2025-10-18T11:30:39.690Z,2025-10-18T11:30:39.690+00:00,1760787018.000,2025-10-18T11:30:18.000Z,2025-10-18T11:30:18.000+00:00,1760787021.000,2025-10-18T11:30:21.000Z,2025-10-18T11:30:21.000+00:00,4.985,0.099,16.407,3.000,21.140,18.140,ok,
46,v0.15.1,1760787041.046,2025-10-18T11:30:41.045Z,2025-10-18T11:30:41.045+00:00,1760787061.883,2025-10-18T11:31:01.882Z,2025-10-18T11:31:01.882+00:00,1760787041.000,2025-10-18T11:30:41.000Z,2025-10-18T11:30:41.000+00:00,1760787043.000,2025-10-18T11:30:43.000Z,2025-10-18T11:30:43.000+00:00,5.425,0.151,15.095,2.000,20.837,18.837,ok,
47,v0.15.2,1760787063.198,2025-10-18T11:31:03.197Z,2025-10-18T11:31:03.197+00:00,1760787083.087,2025-10-18T11:31:23.087Z,2025-10-18T11:31:23.087+00:00,1760787063.000,2025-10-18T11:31:03.000Z,2025-10-18T11:31:03.000+00:00,1760787065.000,2025-10-18T11:31:05.000Z,2025-10-18T11:31:05.000+00:00,4.454,0.153,15.324,2.000,19.890,17.890,ok,
48,v0.15.1,1760787084.446,2025-10-18T11:31:24.445Z,2025-10-18T11:31:24.445+00:00,1760787105.450,2025-10-18T11:31:45.449Z,2025-10-18T11:31:45.449+00:00,1760787084.000,2025-10-18T11:31:24.000Z,2025-10-18T11:31:24.000+00:00,1760787087.000,2025-10-18T11:31:27.000Z,2025-10-18T11:31:27.000+00:00,4.837,0.137,16.310,3.000,21.004,18.004,ok,
49,v0.15.2,1760787106.723,2025-10-18T11:31:46.723Z,2025-10-18T11:31:46.723+00:00,1760787128.696,2025-10-18T11:32:08.696Z,2025-10-18T11:32:08.696+00:00,1760787106.000,2025-10-18T11:31:46.000Z,2025-10-18T11:31:46.000+00:00,1760787110.000,2025-10-18T11:31:50.000Z,2025-10-18T11:31:50.000+00:00,6.060,0.149,16.378,4.000,21.973,17.973,ok,
50,v0.15.1,1760787130.156,2025-10-18T11:32:10.155Z,2025-10-18T11:32:10.155+00:00,1760787151.119,2025-10-18T11:32:31.118Z,2025-10-18T11:32:31.118+00:00,1760787130.000,2025-10-18T11:32:10.000Z,2025-10-18T11:32:10.000+00:00,1760787133.000,2025-10-18T11:32:13.000Z,2025-10-18T11:32:13.000+00:00,4.715,0.146,16.138,3.000,20.963,17.963,ok,
