iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
25,v0.15.2,1760791891.217,2025-10-18T12:51:31.216Z,2025-10-18T12:51:31.216+00:00,1760791913.807,2025-10-18T12:51:53.806Z,2025-10-18T12:51:53.806+00:00,1760791891.000,2025-10-18T12:51:31.000Z,2025-10-18T12:51:31.000+00:00,1760791895.000,2025-10-18T12:51:35.000Z,2025-10-18T12:51:35.000+00:00,6.744,0.103,15.833,4.000,22.590,18.590,ok,
26,v0.15.1,1760791915.029,2025-10-18T12:51:55.028Z,2025-10-18T12:51:55.028+00:00,1760791935.408,2025-10-18T12:52:15.408Z,2025-10-18T12:52:15.408+00:00,1760791915.000,2025-10-18T12:51:55.000Z,2025-10-18T12:51:55.000+00:00,1760791917.000,2025-10-18T12:51:57.000Z,2025-10-18T12:51:57.000+00:00,4.674,0.173,15.437,2.000,20.380,18.380,ok,
27,v0.15.2,1760791936.775,2025-10-18T12:52:16.774Z,2025-10-18T12:52:16.774+00:00,1760791958.340,2025-10-18T12:52:38.339Z,2025-10-18T12:52:38.339+00:00,1760791936.000,2025-10-18T12:52:16.000Z,2025-10-18T12:52:16.000+00:00,1760791939.000,2025-10-18T12:52:19.000Z,2025-10-18T12:52:19.000+00:00,6.675,0.148,15.390,3.000,21.565,18.565,ok,
28,v0.15.1,1760791959.734,2025-10-18T12:52:39.734Z,2025-10-18T12:52:39.734+00:00,1760791981.252,2025-10-18T12:53:01.252Z,2025-10-18T12:53:01.252+00:00,1760791959.000,2025-10-18T12:52:39.000Z,2025-10-18T12:52:39.000+00:00,1760791963.000,2025-10-18T12:52:43.000Z,2025-10-18T12:52:43.000+00:00,5.716,0.108,16.334,4.000,21.518,17.518,ok,
29,v0.15.2,1760791982.615,2025-10-18T12:53:02.614Z,2025-10-18T12:53:02.614+00:00,1760792005.057,2025-10-18T12:53:25.056Z,2025-10-18T12:53:25.056+00:00,1760791982.000,2025-10-18T12:53:02.000Z,2025-10-18T12:53:02.000+00:00,1760791986.000,2025-10-18T12:53:06.000Z,2025-10-18T12:53:06.000+00:00,7.042,0.232,15.619,4.000,22.442,18.442,ok,
30,v0.15.1,1760792006.355,2025-10-18T12:53:26.354Z,2025-10-18T12:53:26.354+00:00,1760792026.947,2025-10-18T12:53:46.947Z,2025-10-18T12:53:46.947+00:00,1760792006.000,2025-10-18T12:53:26.000Z,2025-10-18T12:53:26.000+00:00,1760792008.000,2025-10-18T12:53:28.000Z,2025-10-18T12:53:28.000+00:00,4.612,0.100,16.102,2.000,20.593,18.593,ok,
31,v0.15.2,1760792028.222,2025-10-18T12:53:48.222Z,2025-10-18T12:53:48.222+00:00,1760792050.295,2025-10-18T12:54:10.294Z,2025-10-18T12:54:10.294+00:00,1760792028.000,2025-10-18T12:53:48.000Z,2025-10-18T12:53:48.000+00:00,1760792032.000,2025-10-18T12:53:52.000Z,2025-10-18T12:53:52.000+00:00,6.564,0.166,15.421,4.000,22.073,18.073,ok,
32,v0.15.1,1760792051.681,2025-10-18T12:54:11.680Z,2025-10-18T12:54:11.680+00:00,1760792072.420,2025-10-18T12:54:32.420Z,2025-10-18T12:54:32.420+00:00,1760792052.000,2025-10-18T12:54:12.000Z,2025-10-18T12:54:12.000+00:00,1760792054.000,2025-10-18T12:54:14.000Z,2025-10-18T12:54:14.000+00:00,4.473,0.192,15.662,2.000,20.740,18.740,ok,
33,v0.15.2,1760792073.758,2025-10-18T12:54:33.758Z,2025-10-18T12:54:33.758+00:00,1760792096.717,2025-10-18T12:54:56.717Z,2025-10-18T12:54:56.717+00:00,1760792073.000,2025-10-18T12:54:33.000Z,2025-10-18T12:54:33.000+00:00,1760792078.000,2025-10-18T12:54:38.000Z,2025-10-18T12:54:38.000+00:00,6.715,0.116,16.788,5.000,22.959,17.959,ok,
34,v0.15.1,1760792098.059,2025-10-18T12:54:58.059Z,2025-10-18T12:54:58.059+00:00,1760792118.038,2025-10-18T12:55:18.038Z,2025-10-18T12:55:18.038+00:00,1760792098.000,2025-10-18T12:54:58.000Z,2025-10-18T12:54:58.000+00:00,1760792100.000,2025-10-18T12:55:00.000Z,2025-10-18T12:55:00.000+00:00,4.290,0.118,15.441,2.000,19.979,17.979,ok,
35,v0.15.2,1760792119.362,2025-10-18T12:55:19.362Z,2025-10-18T12:55:19.362+00:00,1760792140.210,2025-10-18T12:55:40.210Z,2025-10-18T12:55:40.210+00:00,1760792119.000,2025-10-18T12:55:19.000Z,2025-10-18T12:55:19.000+00:00,1760792123.000,2025-10-18T12:55:23.000Z,2025-10-18T12:55:23.000+00:00,6.087,0.133,14.843,4.000,20.848,16.848,ok,
36,v0.15.1,1760792141.566,2025-10-18T12:55:41.566Z,2025-10-18T12:55:41.566+00:00,1760792162.896,2025-10-18T12:56:02.896Z,2025-10-18T12:56:02.896+00:00,1760792141.000,2025-10-18T12:55:41.000Z,2025-10-18T12:55:41.000+00:00,1760792144.000,2025-10-18T12:55:44.000Z,2025-10-18T12:55:44.000+00:00,4.847,0.174,16.742,3.000,21.330,18.330,ok,
37,v0.15.2,1760792164.336,2025-10-18T12:56:04.336Z,2025-10-18T12:56:04.336+00:00,1760792185.615,2025-10-18T12:56:25.615Z,2025-10-18T12:56:25.615+00:00,1760792164.000,2025-10-18T12:56:04.000Z,2025-10-18T12:56:04.000+00:00,1760792168.000,2025-10-18T12:56:08.000Z,2025-10-18T12:56:08.000+00:00,6.115,0.237,15.076,4.000,21.279,17.279,ok,
38,v0.15.1,1760792186.957,2025-10-18T12:56:26.957Z,2025-10-18T12:56:26.957+00:00,1760792208.521,2025-10-18T12:56:48.521Z,2025-10-18T12:56:48.521+00:00,1760792187.000,2025-10-18T12:56:27.000Z,2025-10-18T12:56:27.000+00:00,1760792189.000,2025-10-18T12:56:29.000Z,2025-10-18T12:56:29.000+00:00,4.590,0.203,16.539,2.000,21.564,19.564,ok,
